id,name,has_cargo_toml,has_cargo_lock
MDEwOlJlcG9zaXRvcnkxMjk1MjM1,SkyFireArchives/SkyFireEMU_old,false,false
MDEwOlJlcG9zaXRvcnkxMjk2MDgx,mwcz/euler,false,false
MDEwOlJlcG9zaXRvcnkxMjk3ODcy,rrnewton/WaveScript,false,false
MDEwOlJlcG9zaXRvcnkxMzAwMDkx,Leonidas-from-XIV/sandbox,false,false
MDEwOlJlcG9zaXRvcnkxMzEwODA2,DanielCollins/incarnadine,true,true
MDEwOlJlcG9zaXRvcnkxMzIyNzM3,pekepeke/dotfiles,false,false
MDEwOlJlcG9zaXRvcnkxMzI0MzIz,ggj/pvm,false,false
MDEwOlJlcG9zaXRvcnkxMzMzOTA5,jjo/openvpn-ipv6,false,false
MDEwOlJlcG9zaXRvcnkxMzM1NzAy,bgreenlee/PassKeeper,false,false
MDEwOlJlcG9zaXRvcnkxMzQyMjU4,NameLessJedi/framework_base,false,false
MDEwOlJlcG9zaXRvcnkxMzQ0MDM3,myfreeweb/dotfiles,false,false
MDEwOlJlcG9zaXRvcnkxMzQ0NTQ5,mokus0/junkbox,false,false
MDEwOlJlcG9zaXRvcnkxMzQ0NTg4,nrkn/SimpleRL,false,false
MDEwOlJlcG9zaXRvcnkxMzQ1NDk1,svenstaro/genact,true,true
MDEwOlJlcG9zaXRvcnkxMzUzNjU3,matsusato3/4rd-spec-repo,false,false
MDEwOlJlcG9zaXRvcnkxMzU3MzU4,mcandre/forkbombs,false,false
MDEwOlJlcG9zaXRvcnkxMzY0OTY2,davidpadbury/node-intro,false,false
MDEwOlJlcG9zaXRvcnkxMzY2Nzk0,smarr/Snake,false,false
MDEwOlJlcG9zaXRvcnkxMzY3NTUw,epage/DialCentral,false,false
MDEwOlJlcG9zaXRvcnkxMzY3NTU4,epage/ejpi,false,false
MDEwOlJlcG9zaXRvcnkxMzY5NjA3,jeeb/aegisub,false,false
MDEwOlJlcG9zaXRvcnkxMzcwODU1,aspotton/xonotic-data-patches,false,false
MDEwOlJlcG9zaXRvcnkxMzc0MTUy,aptivate/sarpaminfohub,false,false
MDEwOlJlcG9zaXRvcnkxMzc2Mzg2,TeamKomin/Ursa-Minor,false,false
MDEwOlJlcG9zaXRvcnkxMzgzNjY5,ming13/aequatio,false,false
MDEwOlJlcG9zaXRvcnkxMzgzMzk2,semantic-im/sim-rf,false,false
MDEwOlJlcG9zaXRvcnkxMzg1Mzg3,agocke/racket,false,false
MDEwOlJlcG9zaXRvcnkxMzg4MDcw,kornelski/dssim,true,false
MDEwOlJlcG9zaXRvcnkxMzkwODY1,Rodderik/Genocide-Kernel,false,false
MDEwOlJlcG9zaXRvcnkxNDEzMjky,MIPS/packages-apps-Launcher2,false,false
MDEwOlJlcG9zaXRvcnkxNDEzMzA0,courtc/kwaak3-cc,false,false
MDEwOlJlcG9zaXRvcnkxNDE1NzI1,mrshoe/sol,false,false
MDEwOlJlcG9zaXRvcnkxNDE1MzYx,UbitUmarov/Aurora-libomv,false,false
MDEwOlJlcG9zaXRvcnkxNDE2NTg0,mif-kpa/mifOS,false,false
MDEwOlJlcG9zaXRvcnkxNDE3NTU4,dagget/programming,false,false
MDEwOlJlcG9zaXRvcnkxNDE3MjA1,rsaxvc/boomerang64,false,false
MDEwOlJlcG9zaXRvcnkxNDIwMjQ1,DavidJFelix/structs,false,false
MDEwOlJlcG9zaXRvcnkxNDIwNzU1,3dseals/furseal,false,false
MDEwOlJlcG9zaXRvcnkxNDIxODE2,lally/ioquake,false,false
MDEwOlJlcG9zaXRvcnkxNDIzNTEz,donaldson-lab/Gene-Designer,false,false
MDEwOlJlcG9zaXRvcnkxNDM1NTM2,mnlk2-custom/android_build,false,false
MDEwOlJlcG9zaXRvcnkxNDM1ODY4,mcandre/modulinos,false,false
MDEwOlJlcG9zaXRvcnkxNDM2NDMw,nopy/android_device_toshiba_folio100,false,false
MDEwOlJlcG9zaXRvcnkxNDM3Nzcy,artemisvision/emgu_openCV,false,false
MDEwOlJlcG9zaXRvcnkxNDQ1MTIw,dylan-hackers/gwydion,false,false
MDEwOlJlcG9zaXRvcnkxNDQ4ODY0,mnlk2-custom/android_system_core,false,false
MDEwOlJlcG9zaXRvcnkxNDUwMjMz,jeff-dagenais/qgit4,false,false
MDEwOlJlcG9zaXRvcnkxNDUzMzM1,lifeafter2am/project2501-old,false,false
MDEwOlJlcG9zaXRvcnkxNDU2NDk3,buglabs/oe-buglabs,false,false
MDEwOlJlcG9zaXRvcnkxNDgxMTg4,NoLifeDev/OldNoLifeStoryTwo,false,false
MDEwOlJlcG9zaXRvcnkxNDgzOTU5,epabst/codehaus-mojo,false,false
MDEwOlJlcG9zaXRvcnkxNDg2MDA5,xudifsd/lab,false,false
MDEwOlJlcG9zaXRvcnkxNDg4MDU5,Ariba/dotfiles,false,false
MDEwOlJlcG9zaXRvcnkxNDkyMDgx,hialin/hialin,false,false
MDEwOlJlcG9zaXRvcnkxNDk5NDE1,yyli/overo-oe,false,false
MDEwOlJlcG9zaXRvcnkxNTA1ODMw,astrellon/SimpleRPG,false,false
MDEwOlJlcG9zaXRvcnkxNTA3NTg0,pogin503/dot-emacs,false,false
MDEwOlJlcG9zaXRvcnkxNTExNDYy,sinis/MakeRT,false,false
MDEwOlJlcG9zaXRvcnkxNTE2Mjgz,idkravitz/kfais,false,false
MDEwOlJlcG9zaXRvcnkxNTE2NTgx,kyrylo/your_tea_buddy,false,false
MDEwOlJlcG9zaXRvcnkxNTI0MDAw,OMFGB/system_core,false,false
MDEwOlJlcG9zaXRvcnkxNTI0MDA1,OMFGB/packages_apps_Launcher2,false,false
MDEwOlJlcG9zaXRvcnkxNTI0MDUz,OMFGB/frameworks_base,false,false
MDEwOlJlcG9zaXRvcnkxNTI3Nzg2,jonobr1/Narcissus,false,false
MDEwOlJlcG9zaXRvcnkxNTMxNDA2,ericmuyser/node-std,false,false
MDEwOlJlcG9zaXRvcnkxNTMxNTQ2,zoommm/long,false,false
